,city,lat,lng,temp,humidity,wind,cloudiness,country,date
98,natchez,31.5604,-91.4032,71.6,64,9.22,1,US,Sat May  1 09:31:32 2021
99,oster,50.9506,30.8823,69.8,32,2.24,100,UA,Sat May  1 09:31:32 2021
100,robertsport,6.7533,-11.3686,84.25,74,11.21,93,LR,Sat May  1 09:31:33 2021
101,portland,45.5234,-122.6762,55.0,66,13.8,40,US,Sat May  1 09:27:20 2021
102,venice,27.0998,-82.4543,82.99,74,9.22,1,US,Sat May  1 09:31:34 2021
103,saldanha,-33.0117,17.9442,69.8,40,6.91,2,ZA,Sat May  1 09:31:34 2021
104,cidreira,-30.1811,-50.2056,71.55,58,12.93,0,BR,Sat May  1 09:31:35 2021
105,feijo,-8.1642,-70.3536,89.65,45,2.51,11,BR,Sat May  1 09:31:36 2021
106,touros,-5.1989,-35.4608,87.8,55,14.97,40,BR,Sat May  1 09:31:36 2021
107,alugan,12.2188,125.4808,80.02,81,7.23,9,PH,Sat May  1 09:31:37 2021
108,jidong,45.2167,131.0833,43.39,61,2.91,47,CN,Sat May  1 09:31:37 2021
109,alofi,-19.0595,-169.9187,73.4,100,1.14,19,NU,Sat May  1 09:31:38 2021
110,buctzotz,21.2,-88.7833,95.45,30,8.93,57,MX,Sat May  1 09:31:39 2021
111,whitehorse,60.7161,-135.0538,39.99,65,2.3,75,CA,Sat May  1 09:30:07 2021
112,ginir,7.1333,40.7,59.45,92,3.06,93,ET,Sat May  1 09:31:40 2021
113,castro,-24.7911,-50.0119,72.01,54,4.09,50,BR,Sat May  1 09:27:25 2021
114,malindi,-3.2175,40.1191,80.6,94,11.5,40,KE,Sat May  1 09:27:26 2021
115,brae,60.3964,-1.353,42.8,70,3.44,90,GB,Sat May  1 09:31:41 2021
116,torbay,47.6666,-52.7314,59.0,63,31.07,75,CA,Sat May  1 09:31:42 2021
117,georgetown,5.4112,100.3354,82.4,88,8.05,40,MY,Sat May  1 09:27:33 2021
118,oskarshamn,57.2645,16.4484,45.0,87,1.01,76,SE,Sat May  1 09:31:43 2021
119,sawtell,-30.3833,153.1,60.8,94,3.44,91,AU,Sat May  1 09:31:43 2021
120,te anau,-45.4167,167.7167,39.09,87,1.25,14,NZ,Sat May  1 09:30:39 2021
121,pitimbu,-7.4706,-34.8086,87.8,58,16.11,40,BR,Sat May  1 09:31:44 2021
122,neiafu,-18.65,-173.9833,77.0,94,4.61,75,TO,Sat May  1 09:31:45 2021
123,san quintin,30.4833,-115.95,67.48,69,15.86,90,MX,Sat May  1 09:31:45 2021
124,lata,40.1629,-8.3327,61.0,47,14.97,40,PT,Sat May  1 09:31:46 2021
125,fuling,29.7022,107.3919,76.5,66,4.72,100,CN,Sat May  1 09:31:46 2021
126,kilcormac,53.1742,-7.7256,53.01,48,1.01,81,IE,Sat May  1 09:31:47 2021
127,dikson,73.5069,80.5464,25.75,85,5.01,97,RU,Sat May  1 09:31:47 2021
128,herat,34.5,62.0,71.6,56,3.44,75,AF,Sat May  1 09:30:27 2021
129,teya,60.3778,92.6267,35.01,91,9.22,97,RU,Sat May  1 09:31:34 2021
130,saint-philippe,-21.3585,55.7679,77.0,78,4.61,0,RE,Sat May  1 09:27:08 2021
131,mopipi,-21.1833,24.8833,73.69,24,9.84,35,BW,Sat May  1 09:31:49 2021
132,birao,10.2849,22.7882,92.68,24,7.58,81,CF,Sat May  1 09:31:50 2021
133,constitucion,-35.3333,-72.4167,54.9,96,7.96,100,CL,Sat May  1 09:31:51 2021
134,coyah,9.75,-13.4167,86.0,70,9.22,75,GN,Sat May  1 09:31:51 2021
135,tevaitoa,-16.7833,-151.5,80.37,72,5.55,100,PF,Sat May  1 09:31:52 2021
136,lamar,33.6668,-95.5836,70.0,72,8.05,1,US,Sat May  1 09:31:52 2021
137,lundazi,-12.2929,33.1782,67.78,74,7.47,36,ZM,Sat May  1 09:31:53 2021
138,mount pleasant,32.7941,-79.8626,73.99,40,9.22,1,US,Sat May  1 09:30:47 2021
139,kapaa,22.0752,-159.319,73.4,88,10.36,90,US,Sat May  1 09:31:54 2021
140,mount isa,-20.7333,139.5,66.2,48,4.61,0,AU,Sat May  1 09:31:55 2021
141,carnarvon,-24.8667,113.6333,68.0,73,11.5,100,AU,Sat May  1 09:27:36 2021
142,riyadh,24.6877,46.7219,93.2,12,12.66,0,SA,Sat May  1 09:27:24 2021
143,urengoy,65.9667,78.3667,30.2,91,6.96,100,RU,Sat May  1 09:31:56 2021
144,esperance,-33.8667,121.9,53.6,87,9.22,2,AU,Sat May  1 09:31:57 2021
145,tazmalt,36.3868,4.3989,68.02,50,7.14,38,DZ,Sat May  1 09:31:58 2021
146,mayor pablo lagerenza,-19.9309,-60.7718,92.64,27,11.32,4,PY,Sat May  1 09:31:58 2021
147,mayskiy,47.6931,40.1025,62.6,59,11.18,0,RU,Sat May  1 09:31:59 2021
148,inhambane,-23.865,35.3833,73.4,83,12.66,40,MZ,Sat May  1 09:31:59 2021
149,bose,45.4612,8.0137,55.0,96,3.67,100,IT,Sat May  1 09:32:00 2021
150,mankapur,27.0333,82.2333,87.69,31,6.93,51,IN,Sat May  1 09:32:00 2021
151,east london,-33.0153,27.9116,60.8,82,2.3,0,ZA,Sat May  1 09:32:01 2021
152,vuktyl,63.8567,57.3094,37.94,83,13.47,100,RU,Sat May  1 09:32:02 2021
153,netivot,31.4222,34.5886,78.01,42,6.08,57,IL,Sat May  1 09:32:02 2021
154,shelburne,44.0787,-80.2041,52.0,41,14.47,57,CA,Sat May  1 09:30:07 2021
155,santiago de cao,-7.9589,-79.2392,66.2,82,10.36,22,PE,Sat May  1 09:32:03 2021
156,maceio,-9.6658,-35.7353,82.4,83,9.22,75,BR,Sat May  1 09:29:29 2021
157,heidelberg,-26.5048,28.3592,55.0,50,7.0,82,ZA,Sat May  1 09:32:04 2021
158,ponta do sol,32.6667,-17.1,62.01,61,1.99,69,PT,Sat May  1 09:32:05 2021
159,rancho grande,-23.5057,-46.3585,75.0,56,6.91,0,BR,Sat May  1 09:32:05 2021
160,shimoda,34.6667,138.95,63.0,83,5.01,89,JP,Sat May  1 09:29:35 2021
161,kuching,1.55,110.3333,78.8,94,0.92,20,MY,Sat May  1 09:32:06 2021
162,along,28.1667,94.7667,68.74,82,2.77,63,IN,Sat May  1 09:32:07 2021
163,mar del plata,-38.0023,-57.5575,69.8,64,11.5,0,AR,Sat May  1 09:29:03 2021
164,mweka,-4.85,21.5667,70.14,97,2.19,94,CD,Sat May  1 09:30:17 2021
165,dolores,-36.3132,-57.6792,73.0,47,11.59,14,AR,Sat May  1 09:31:17 2021
166,saint george,37.1041,-113.5841,78.01,26,4.61,1,US,Sat May  1 09:27:43 2021
167,avarua,-21.2078,-159.775,77.0,78,5.75,75,CK,Sat May  1 09:32:09 2021
168,nanortalik,60.1432,-45.2371,40.86,55,11.14,21,GL,Sat May  1 09:32:10 2021
169,mahebourg,-20.4081,57.7,75.2,88,3.44,40,MU,Sat May  1 09:32:10 2021
170,cockburn town,21.4612,-71.1419,82.4,61,8.05,40,TC,Sat May  1 09:30:34 2021
171,linqiong,30.4159,103.4609,75.2,69,4.0,0,CN,Sat May  1 09:32:11 2021
172,los llanos de aridane,28.6585,-17.9182,71.6,60,12.66,40,ES,Sat May  1 09:29:51 2021
173,borogontsy,62.6683,131.1683,31.89,96,5.41,100,RU,Sat May  1 09:32:12 2021
174,sikasso,10.9167,-7.0,97.97,27,2.44,62,ML,Sat May  1 09:32:13 2021
175,half moon bay,37.4636,-122.4286,62.01,100,10.36,90,US,Sat May  1 09:32:13 2021
176,barrow,71.2906,-156.7887,21.2,86,8.05,90,US,Sat May  1 09:32:14 2021
177,carballo,43.213,-8.691,55.99,56,8.01,75,ES,Sat May  1 09:30:59 2021
178,cadillac,44.2519,-85.4012,55.4,33,16.11,40,US,Sat May  1 09:32:15 2021
179,cabedelo,-6.9811,-34.8339,87.8,58,16.11,40,BR,Sat May  1 09:32:15 2021
180,matay,28.419,30.7792,93.45,10,10.2,35,EG,Sat May  1 09:32:16 2021
181,svetlyy,54.675,20.1347,48.2,57,13.42,0,RU,Sat May  1 09:32:16 2021
182,vidim,56.4088,103.1106,30.16,96,1.95,100,RU,Sat May  1 09:32:17 2021
183,taoudenni,22.6783,-3.9836,99.52,17,3.22,5,ML,Sat May  1 09:32:18 2021
184,la macarena,2.1837,-73.7849,72.03,98,2.15,99,CO,Sat May  1 09:32:19 2021
185,hofn,64.2539,-15.2082,38.61,66,19.8,93,IS,Sat May  1 09:32:20 2021
186,mount gambier,-37.8333,140.7667,66.2,45,14.97,40,AU,Sat May  1 09:30:50 2021
187,sabang,5.8933,95.3214,84.87,72,14.5,96,ID,Sat May  1 09:32:21 2021
188,makakilo city,21.3469,-158.0858,75.2,94,15.61,75,US,Sat May  1 09:32:22 2021
189,xintai,35.9006,117.7519,51.39,34,3.58,84,CN,Sat May  1 09:32:22 2021
190,praia,14.9215,-23.5087,77.0,57,20.71,20,CV,Sat May  1 09:32:23 2021
191,port hardy,50.6996,-127.4199,48.2,76,6.91,75,CA,Sat May  1 09:32:23 2021
192,saint-pierre,-21.3393,55.4781,77.0,78,4.61,0,RE,Sat May  1 09:31:48 2021
193,wamba,8.9333,8.6,96.08,31,6.33,96,NG,Sat May  1 09:32:24 2021
194,porosozero,62.7191,32.727,33.98,33,10.27,52,RU,Sat May  1 09:32:25 2021
195,tarrega,41.647,1.1396,66.99,48,11.99,33,ES,Sat May  1 09:32:26 2021
196,buchanan,5.8808,-10.0467,87.8,70,9.22,40,LR,Sat May  1 09:32:26 2021
197,nong chik,6.8436,101.178,80.08,82,5.64,100,TH,Sat May  1 09:32:27 2021
198,rafaela,-31.2503,-61.4867,81.0,37,5.99,0,AR,Sat May  1 09:32:28 2021
199,sioux lookout,50.1001,-91.917,57.2,38,3.44,75,CA,Sat May  1 09:32:28 2021
200,salalah,17.0151,54.0924,86.0,74,8.05,75,OM,Sat May  1 09:28:16 2021
201,paducah,37.0834,-88.6001,72.0,40,10.36,1,US,Sat May  1 09:32:29 2021
202,valencia,39.3333,-0.8333,68.0,63,11.5,20,ES,Sat May  1 09:29:53 2021
203,kiunga,-6.1219,141.2906,72.52,99,1.52,100,PG,Sat May  1 09:32:30 2021
204,manta,-0.95,-80.7333,86.0,62,9.22,75,EC,Sat May  1 09:32:31 2021
205,kushima,31.4583,131.2333,53.01,71,11.01,0,JP,Sat May  1 09:32:32 2021
206,derzhavinsk,51.1,66.3167,54.86,39,8.32,25,KZ,Sat May  1 09:32:32 2021
207,norman wells,65.282,-126.8329,32.0,69,3.44,20,CA,Sat May  1 09:28:54 2021
208,araouane,18.9048,-3.5265,101.7,16,6.4,73,ML,Sat May  1 09:32:33 2021
209,pacific grove,36.6177,-121.9166,57.2,82,4.61,90,US,Sat May  1 09:32:34 2021
210,tamandare,-8.7597,-35.1047,83.17,66,11.16,100,BR,Sat May  1 09:32:34 2021
211,dingle,10.9995,122.6711,77.27,84,6.4,11,PH,Sat May  1 09:32:35 2021
212,aswan,24.0934,32.907,97.86,8,13.27,0,EG,Sat May  1 09:32:35 2021
213,lagunillas,10.1301,-71.2595,85.06,63,6.85,90,VE,Sat May  1 09:32:36 2021
