,city,lat,lng,temp,humidity,wind,cloudiness,country,date
126,ialibu,-6.2821,143.9935,64.11,91,3.0,100,PG,Thu Apr 22 20:36:56 2021
127,solnechnyy,50.7214,136.6319,60.64,46,1.66,100,RU,Thu Apr 22 20:36:56 2021
128,tautira,-17.7333,-149.15,84.2,65,8.05,20,PF,Thu Apr 22 20:36:57 2021
129,te anau,-45.4167,167.7167,49.75,90,5.68,100,NZ,Thu Apr 22 20:36:57 2021
130,chokurdakh,70.6333,147.9167,8.67,88,3.51,72,RU,Thu Apr 22 20:36:58 2021
131,thompson,55.7435,-97.8558,17.6,67,13.8,90,CA,Thu Apr 22 20:36:58 2021
132,bartica,6.4,-58.6167,77.0,88,2.3,40,GY,Thu Apr 22 20:36:59 2021
133,grindavik,63.8424,-22.4338,44.6,87,33.38,90,IS,Thu Apr 22 20:37:00 2021
134,dunedin,-45.8742,170.5036,61.0,63,1.01,100,NZ,Thu Apr 22 20:37:01 2021
135,mount gambier,-37.8333,140.7667,59.0,67,13.8,90,AU,Thu Apr 22 20:37:02 2021
136,korla,41.7597,86.1469,41.74,57,8.3,100,CN,Thu Apr 22 20:37:02 2021
137,ullapool,57.8987,-5.1604,42.01,54,3.11,98,GB,Thu Apr 22 20:37:03 2021
138,naze,28.3667,129.4833,73.4,68,23.02,75,JP,Thu Apr 22 20:35:40 2021
139,santa isabel do rio negro,-0.4139,-65.0192,74.03,98,1.48,100,BR,Thu Apr 22 20:33:18 2021
140,richards bay,-28.783,32.0377,65.57,89,9.4,82,ZA,Thu Apr 22 20:32:16 2021
141,trincomalee,8.5711,81.2335,85.59,64,8.59,3,LK,Thu Apr 22 20:37:05 2021
142,srednekolymsk,67.45,153.6833,20.05,77,8.52,88,RU,Thu Apr 22 20:37:07 2021
143,ostrovnoy,68.0531,39.5131,34.32,96,11.59,97,RU,Thu Apr 22 20:37:08 2021
144,wuda,39.4994,106.7117,70.43,25,19.15,100,CN,Thu Apr 22 20:37:08 2021
145,rusape,-18.5278,32.1284,51.98,92,1.25,0,ZW,Thu Apr 22 20:37:09 2021
146,cherskiy,68.75,161.3,18.16,85,5.12,95,RU,Thu Apr 22 20:33:21 2021
147,kasama,-10.2129,31.1808,57.47,97,3.51,69,ZM,Thu Apr 22 20:37:10 2021
148,hilo,19.7297,-155.09,80.6,57,10.36,75,US,Thu Apr 22 20:37:10 2021
149,adana,36.985,35.2881,53.6,94,1.52,2,TR,Thu Apr 22 20:32:45 2021
150,santa rosalia,27.3167,-112.2833,64.99,51,10.16,1,MX,Thu Apr 22 20:37:12 2021
151,vardo,70.3705,31.1107,33.8,75,5.75,75,NO,Thu Apr 22 20:37:12 2021
152,novouzensk,50.4592,48.1431,46.02,77,10.09,100,RU,Thu Apr 22 20:37:13 2021
153,udachnyy,66.4167,112.4,28.15,75,23.2,95,RU,Thu Apr 22 20:37:14 2021
154,kirovskiy,45.0917,133.5136,64.33,39,7.7,100,RU,Thu Apr 22 20:37:14 2021
155,upernavik,72.7868,-56.1549,13.51,87,3.36,99,GL,Thu Apr 22 20:37:15 2021
156,georgetown,5.4112,100.3354,87.01,74,3.44,20,MY,Thu Apr 22 20:36:19 2021
157,honiara,-9.4333,159.95,84.25,76,5.86,67,SB,Thu Apr 22 20:37:16 2021
158,bolobo,-2.1667,16.2333,72.73,90,2.15,100,CD,Thu Apr 22 20:37:17 2021
159,trairi,-3.2778,-39.2689,74.25,93,3.47,13,BR,Thu Apr 22 20:37:18 2021
160,diamantino,-14.4086,-56.4461,71.64,64,4.74,3,BR,Thu Apr 22 20:37:18 2021
161,kenora,49.8167,-94.4337,48.2,37,6.91,20,CA,Thu Apr 22 20:37:19 2021
162,urumqi,43.801,87.6005,39.2,45,11.18,0,CN,Thu Apr 22 20:37:20 2021
